,case:Responsible_actor,Activity,monitoringResource,question,org:resource,timesincelastevent,timesincecasestart,timesincemidnight,event_nr,month,weekday,hour,open_cases,resource_multitasking,n_tasks,n_cases,n_acts,n_handoffs,ent_act,ent_case,ent_handoff,ratio_act_case,busyness,n_current_case,n_current_act,n_current_handoff,ratio_current_case,ratio_current_act,ratio_current_handoff,case:SUMleges,time:timestamp,Case ID,label
3102,4901428.0,decision extension procedure term irrevocable,560925,EMPTY,560881,0.2,137675.66666666666,815,37,3,0,13,72,1,912,42,52,7,3.5547575983264847,3.5992131981408626,0.386679628234495,21.714285714285715,6.909090909090909,34,4,842,0.0372807017543859,0.0043859649122807,0.9232456140350878,23132.19,2011-03-21 13:35:40+00:00,2938665,149700.0
3103,4901428.0,grounds for refusal,560925,False,560881,0.0333333333333333,137675.7,815,38,3,0,13,72,1,913,42,52,7,3.5547404516052703,3.5988583794356006,0.3863435217762875,21.73809523809524,6.916666666666667,35,27,843,0.0383351588170865,0.0295728368017524,0.9233296823658268,23132.19,2011-03-21 13:35:42+00:00,2938665,149700.0
3104,4901428.0,ask stakeholders views,560925,False,560881,0.05,137675.75,815,39,3,0,13,72,1,914,42,52,7,3.5549035915197047,3.598474271464222,0.3860080512737569,21.761904761904763,6.924242424242424,36,23,844,0.0393873085339168,0.0251641137855579,0.9234135667396062,23132.19,2011-03-21 13:35:45+00:00,2938665,149700.0
3105,4901428.0,suspension ground applicable,560925,False,560881,0.0166666666666666,137675.76666666666,815,40,3,0,13,72,1,915,42,52,7,3.555067570573259,3.598061836669827,0.385673214868195,21.785714285714285,6.931818181818182,37,23,845,0.0404371584699453,0.0251366120218579,0.9234972677595628,23132.19,2011-03-21 13:35:46+00:00,2938665,149700.0
3106,4901428.0,by law,560925,False,560881,0.0166666666666666,137675.78333333333,815,41,3,0,13,72,1,916,42,52,7,3.5552820246803964,3.5976219864252483,0.3853390107082388,21.80952380952381,6.9393939393939394,38,22,846,0.0414847161572052,0.0240174672489082,0.9235807860262008,23132.19,2011-03-21 13:35:47+00:00,2938665,149700.0
3107,4901428.0,creating environmental permit decision,560464,EMPTY,560881,0.0166666666666666,137675.8,815,42,3,0,13,72,1,917,42,52,7,3.555497201573856,3.5971555850095407,0.3850054369498326,21.83333333333333,6.946969696969697,39,22,847,0.0425299890948745,0.0239912758996728,0.9236641221374046,23132.19,2011-03-21 13:35:48+00:00,2938665,149700.0
3110,4901428.0,enter senddate decision environmental permit,560925,EMPTY,560890,564.2,138240.0,1380,43,3,0,23,73,11,336,36,48,7,3.307538177827454,3.3095363526871164,0.5721405611230981,9.333333333333334,2.6666666666666665,1,24,21,0.0029761904761904,0.0714285714285714,0.0625,23132.19,2011-03-21 23:00:00+00:00,2938665,149700.0
3111,4901428.0,register date environmental permit decision,560925,EMPTY,560890,0.0,138240.0,1380,44,3,0,23,73,11,337,36,48,7,3.3050491772891157,3.315835364756263,0.5708586413614473,9.36111111111111,2.6746031746031744,2,29,293,0.0059347181008902,0.086053412462908,0.8694362017804155,23132.19,2011-03-21 23:00:00+00:00,2938665,149700.0
3135,4901428.0,generating decision environmental permit,560925,EMPTY,560890,838.0666666666667,139078.06666666668,778,45,3,1,12,73,11,358,40,48,7,3.2617392488824963,3.424819444177172,0.5744649763560076,8.95,2.8188976377952755,3,32,310,0.0083798882681564,0.0893854748603352,0.8659217877094972,23132.19,2011-03-22 12:58:04+00:00,2938665,149700.0
3136,4901428.0,register objection and appeal periods,560925,42,560890,0.1833333333333333,139078.25,778,46,3,1,12,73,11,359,40,48,7,3.2600166157908674,3.428183701316975,0.5732651988916428,8.975,2.826771653543307,4,26,311,0.011142061281337,0.0724233983286908,0.8662952646239555,23132.19,2011-03-22 12:58:15+00:00,2938665,149700.0
3137,4901428.0,transcript decision environmental permit to stakeholders,560925,EMPTY,560890,0.0166666666666666,139078.26666666666,778,47,3,1,12,73,11,360,40,48,7,3.2577242593698155,3.4308351403051853,0.5720708926334639,9.0,2.8346456692913384,5,32,312,0.0138888888888888,0.0888888888888888,0.8666666666666667,23132.19,2011-03-22 12:58:16+00:00,2938665,149700.0
3138,4901428.0,generate publication document decision environmental permit,560925,EMPTY,560890,0.1833333333333333,139078.45,778,48,3,1,12,73,11,361,40,48,7,3.2558285155303563,3.432921814107432,0.5708820192289517,9.025,2.84251968503937,6,28,313,0.0166204986149584,0.077562326869806,0.8670360110803325,23132.19,2011-03-22 12:58:27+00:00,2938665,149700.0
3391,4901428.0,enter date publication decision environmental permit,560925,EMPTY,560890,10621.55,149700.0,1320,49,3,1,22,70,13,404,44,50,8,3.3163327860452467,3.4760198186154283,0.5873842363544758,9.181818181818182,3.014925373134328,7,24,350,0.0173267326732673,0.0594059405940594,0.8663366336633663,23132.19,2011-03-29 22:00:00+00:00,2938665,149700.0
909,560872.0,enter senddate procedure confirmation,560872,EMPTY,560872,0.0,0.0,1380,1,12,2,23,31,8,300,27,46,5,3.5122300487322105,2.9315936099321678,0.4930215529575552,11.11111111111111,4.166666666666667,1,19,21,0.0033333333333333,0.0633333333333333,0.07,0.0,2010-12-15 23:00:00+00:00,2941603,18720.0
925,560872.0,register submission date request,560872,EMPTY,560872,1440.0,1440.0,1380,2,12,3,23,31,7,305,27,46,5,3.502133364994348,2.9583209037137115,0.4870164507324577,11.296296296296296,4.178082191780822,2,20,269,0.0065573770491803,0.0655737704918032,0.8819672131147541,0.0,2010-12-16 23:00:00+00:00,2941603,18720.0
927,560872.0,enter senddate procedure confirmation,560872,EMPTY,560872,4320.0,5760.0,1380,3,12,6,23,31,7,306,27,46,5,3.49968078689061,2.964380008039104,0.4858346372186309,11.333333333333334,4.026315789473684,3,20,270,0.0098039215686274,0.065359477124183,0.8823529411764706,0.0,2010-12-19 23:00:00+00:00,2941603,18720.0
930,560872.0,phase application received,560872,EMPTY,560872,561.8833333333333,6321.883333333333,501,4,12,0,8,31,7,307,27,46,5,3.4974263489848085,2.9693034501411453,0.484659103491545,11.37037037037037,4.039473684210527,4,19,271,0.013029315960912,0.0618892508143322,0.8827361563517915,0.0,2010-12-20 08:21:53+00:00,2941603,18720.0
931,560872.0,reception through OLO,560872,True,560872,80.01666666666667,6401.9,581,5,12,0,9,31,7,308,27,46,5,3.495377594129065,2.973385135461792,0.48348979819605,11.407407407407408,4.052631578947368,5,18,272,0.0162337662337662,0.0584415584415584,0.8831168831168831,0.0,2010-12-20 09:41:54+00:00,2941603,18720.0
932,560872.0,forward to the competent authority,560872,False,560872,0.05,6401.95,581,6,12,0,9,31,7,309,27,46,5,3.4930023156322902,2.9767992746750043,0.4823266705402687,11.444444444444445,4.065789473684211,6,20,273,0.0194174757281553,0.0647249190938511,0.883495145631068,0.0,2010-12-20 09:41:57+00:00,2941603,18720.0
933,560872.0,regular procedure without MER,560872,True,560872,0.0666666666666666,6402.016666666666,582,7,12,0,9,31,7,310,27,46,5,3.492356907712417,2.9796616751732383,0.4811696702879096,11.48148148148148,4.078947368421052,7,12,274,0.0225806451612903,0.0387096774193548,0.8838709677419355,0.0,2010-12-20 09:42:01+00:00,2941603,18720.0
934,560872.0,send procedure confirmation,560872,EMPTY,560872,0.0333333333333333,6402.05,582,8,12,0,9,31,7,311,27,46,5,3.4917260227117928,2.9820551173081817,0.4800187477507024,11.51851851851852,4.092105263157895,8,12,275,0.0257234726688102,0.0385852090032154,0.8842443729903537,0.0,2010-12-20 09:42:03+00:00,2941603,18720.0
935,560872.0,registrer date of publishing received request,560872,EMPTY,560872,0.2,6402.25,582,9,12,0,9,31,7,312,27,46,5,3.488818163494244,2.984041831823956,0.4788738537809578,11.555555555555555,4.105263157894737,9,24,276,0.0288461538461538,0.0769230769230769,0.8846153846153846,0.0,2010-12-20 09:42:15+00:00,2941603,18720.0
956,560872.0,enter date termination request received,560872,22-12-2010 0:00:00,560872,2237.75,8640.0,1380,10,12,1,23,39,11,316,30,46,5,3.487091126742719,3.0214169832027373,0.4982457476722987,10.533333333333331,4.051282051282051,10,2,277,0.0316455696202531,0.0063291139240506,0.8765822784810127,0.0,2010-12-21 23:00:00+00:00,2941603,18720.0
961,560872.0,enter senddate confirmation request,560872,EMPTY,560872,1440.0,10080.0,1380,11,12,2,23,40,12,318,31,46,5,3.4902370344598466,3.034385439785709,0.5035818629233324,10.258064516129032,4.025316455696203,11,2,278,0.0345911949685534,0.0062893081761006,0.8742138364779874,0.0,2010-12-22 23:00:00+00:00,2941603,18720.0
962,560872.0,register date decision terminate on request,560872,EMPTY,560872,0.0,10080.0,1380,12,12,2,23,40,12,319,31,46,5,3.4961526791892807,3.035285768399533,0.5024239402875392,10.290322580645162,4.037974683544304,12,2,279,0.0376175548589341,0.006269592476489,0.8746081504702194,0.0,2010-12-22 23:00:00+00:00,2941603,18720.0
972,560872.0,treat subcases completeness,560872,EMPTY,560872,629.7666666666667,10709.766666666666,569,13,12,3,9,40,12,324,32,46,5,3.489115531291528,3.067634272750407,0.5041548611368689,10.125,4.10126582278481,13,6,283,0.0401234567901234,0.0185185185185185,0.8734567901234568,0.0,2010-12-23 09:29:46+00:00,2941603,18720.0
973,560872.0,WAW permit aspect,560872,False,560872,0.1333333333333333,10709.9,569,14,12,3,9,40,12,325,32,46,5,3.4892458078307405,3.06797947244298,0.5030192262893821,10.15625,4.113924050632911,14,10,284,0.043076923076923,0.0307692307692307,0.8738461538461538,0.0,2010-12-23 09:29:54+00:00,2941603,18720.0
974,560872.0,applicant is stakeholder,560872,True,560872,0.1,10710.0,570,15,12,3,9,40,12,326,32,46,5,3.491681710109452,3.068112700031996,0.5018891959314367,10.1875,4.1265822784810124,15,5,285,0.0460122699386503,0.0153374233128834,0.8742331288343558,0.0,2010-12-23 09:30:00+00:00,2941603,18720.0
975,560872.0,terminate on request,560872,True,560872,0.0666666666666666,10710.066666666668,570,16,12,3,9,40,12,327,32,46,5,3.4934963296646435,3.068050468590161,0.5007647275644987,10.21875,4.139240506329114,16,6,286,0.0489296636085626,0.018348623853211,0.8746177370030581,0.0,2010-12-23 09:30:04+00:00,2941603,18720.0
976,560872.0,extend procedure term,560872,False,560872,0.1333333333333333,10710.2,570,17,12,3,9,40,12,328,32,46,5,3.494798698899139,3.0678072670806724,0.4996457791208993,10.25,4.151898734177215,17,7,287,0.0518292682926829,0.0213414634146341,0.875,0.0,2010-12-23 09:30:12+00:00,2941603,18720.0
977,560872.0,subcases completeness completed,560872,EMPTY,560872,0.0666666666666666,10710.266666666666,570,18,12,3,9,40,12,329,32,46,5,3.496102417819777,3.067395912647701,0.4985323089584255,10.28125,4.1645569620253164,18,7,288,0.0547112462006079,0.0212765957446808,0.8753799392097265,0.0,2010-12-23 09:30:16+00:00,2941603,18720.0
978,560872.0,create decision terminate on request,560872,EMPTY,560872,0.1333333333333333,10710.4,570,19,12,3,9,40,12,330,32,46,5,3.501905991126524,3.066827825058268,0.4974242758549931,10.3125,4.177215189873418,19,2,289,0.0575757575757575,0.006060606060606,0.8757575757575757,0.0,2010-12-23 09:30:24+00:00,2941603,18720.0
979,560872.0,activities regular procedure,560872,False,560872,0.1,10710.5,570,20,12,3,9,40,12,331,32,46,5,3.5037045803516302,3.0661132437466625,0.4963216390033965,10.34375,4.189873417721519,20,6,290,0.0604229607250755,0.0181268882175226,0.8761329305135952,0.0,2010-12-23 09:30:30+00:00,2941603,18720.0
980,560872.0,decision terminate on request,560872,EMPTY,560872,0.2833333333333333,10710.783333333333,570,21,12,3,9,40,12,332,32,46,5,3.5094685215835417,3.065261401775601,0.4952243580061353,10.375,4.2025316455696204,21,2,291,0.0632530120481927,0.0060240963855421,0.8765060240963856,0.0,2010-12-23 09:30:47+00:00,2941603,18720.0
981,560872.0,detailed procedure applies,560872,EMPTY,560872,0.2666666666666666,10711.05,571,22,12,3,9,40,12,333,32,47,5,3.519369935882732,3.0642806669400064,0.4941323928703201,10.40625,4.215189873417722,22,1,292,0.066066066066066,0.003003003003003,0.8768768768768769,0.0,2010-12-23 09:31:03+00:00,2941603,18720.0
982,560872.0,stop process after terminate on request,560872,EMPTY,560872,0.8666666666666667,10711.916666666666,571,23,12,3,9,40,12,334,32,47,5,3.525070469396886,3.0631786574528883,0.4930457040026476,10.4375,4.227848101265823,23,2,293,0.0688622754491018,0.0059880239520958,0.8772455089820359,0.0,2010-12-23 09:31:55+00:00,2941603,18720.0
983,560872.0,phase procedure aborted,560872,EMPTY,560872,0.0,10711.916666666666,571,24,12,3,9,40,12,335,32,47,5,3.530745907237669,3.0619623377148177,0.4919642522044536,10.46875,4.2405063291139244,24,2,294,0.0716417910447761,0.0059701492537313,0.8776119402985074,0.0,2010-12-23 09:31:55+00:00,2941603,18720.0
984,560872.0,close case,560872,EMPTY,560872,0.1,10712.016666666666,572,25,12,3,9,40,12,336,32,47,5,3.5363964468742237,3.060638098295681,0.4908879986668358,10.5,4.253164556962025,25,2,295,0.0744047619047619,0.0059523809523809,0.8779761904761905,0.0,2010-12-23 09:32:01+00:00,2941603,18720.0
985,560872.0,request complete,560872,False,560872,0.0,10712.016666666666,572,26,12,3,9,40,12,337,32,47,5,3.538114055423296,3.059211823268856,0.489816904965849,10.53125,4.265822784810126,26,6,296,0.0771513353115727,0.0178041543026706,0.8783382789317508,0.0,2010-12-23 09:32:01+00:00,2941603,18720.0
1060,560872.0,registrer date of publishing received request,560872,EMPTY,560872,8007.983333333334,18720.0,1380,27,12,1,23,42,9,360,32,48,5,3.510872986060177,3.1519441691846946,0.4814599032264083,11.25,4.235294117647059,27,25,318,0.075,0.0694444444444444,0.8833333333333333,0.0,2010-12-28 23:00:00+00:00,2941603,18720.0
957,4901428.0,register submission date request,560872,EMPTY,560872,0.0,0.0,1380,1,12,1,23,39,11,317,31,46,5,3.4842939871115246,3.033202175134698,0.5047456637120687,10.225806451612904,4.064102564102564,1,24,25,0.0031545741324921,0.0757097791798107,0.0788643533123028,0.0,2010-12-21 23:00:00+00:00,2952306,350758.1666666667
963,4901428.0,enter senddate procedure confirmation,560872,EMPTY,560872,1440.0,1440.0,1380,2,12,2,23,40,12,320,31,46,5,3.493809799393469,3.042614445699915,0.5012718501816806,10.32258064516129,4.050632911392405,2,21,280,0.00625,0.065625,0.875,0.0,2010-12-22 23:00:00+00:00,2952306,350758.1666666667
964,4901428.0,enter senddate procedure confirmation,560872,EMPTY,560872,0.0,1440.0,1380,3,12,2,23,40,12,321,31,46,5,3.491342850140021,3.048277140155191,0.5001255474563027,10.35483870967742,4.063291139240507,3,22,281,0.0093457943925233,0.0685358255451713,0.8753894080996885,0.0,2010-12-22 23:00:00+00:00,2952306,350758.1666666667
1100,4901428.0,registrer date of publishing received request,560872,EMPTY,560872,18720.0,20160.0,1380,4,1,1,23,45,9,362,33,48,5,3.5061182309580943,3.166376557146099,0.4863608040402004,10.969696969696969,3.934782608695652,4,26,319,0.011049723756906,0.0718232044198895,0.8812154696132597,0.0,2011-01-04 23:00:00+00:00,2952306,350758.1666666667
1150,4901428.0,phase application received,560872,EMPTY,560872,8057.666666666667,28217.666666666668,797,5,1,0,13,49,9,383,35,53,6,3.589153098044566,3.182317190513107,0.4908018941256581,10.942857142857145,3.948453608247423,5,24,338,0.0130548302872062,0.06266318537859,0.8825065274151436,0.0,2011-01-10 13:17:40+00:00,2952306,350758.1666666667
1151,4901428.0,reception through OLO,560872,True,560872,0.0666666666666666,28217.733333333334,797,6,1,0,13,49,9,384,35,53,6,3.5871915179585434,3.185087125132349,0.4898488048409231,10.971428571428572,3.9587628865979374,6,23,339,0.015625,0.0598958333333333,0.8828125,0.0,2011-01-10 13:17:44+00:00,2952306,350758.1666666667
1152,4901428.0,forward to the competent authority,560872,False,560872,0.0833333333333333,28217.816666666666,797,7,1,0,13,49,9,385,35,53,6,3.5850256693761966,3.187414507350422,0.4888997687805884,11.0,3.9690721649484537,7,25,340,0.0181818181818181,0.0649350649350649,0.8831168831168831,0.0,2011-01-10 13:17:49+00:00,2952306,350758.1666666667
1153,4901428.0,regular procedure without MER,560872,True,560872,0.2833333333333333,28218.1,798,8,1,0,13,49,9,386,35,53,6,3.5842369772552947,3.189365194177433,0.4879547593962318,11.028571428571428,3.979381443298969,8,15,341,0.0207253886010362,0.038860103626943,0.883419689119171,0.0,2011-01-10 13:18:06+00:00,2952306,350758.1666666667
1154,4901428.0,send procedure confirmation,560872,EMPTY,560872,0.0333333333333333,28218.13333333333,798,9,1,0,13,49,9,387,35,53,6,3.583842746666928,3.1909886503333404,0.4870137503729059,11.057142857142855,3.989690721649485,9,13,342,0.0232558139534883,0.0335917312661498,0.8837209302325582,0.0,2011-01-10 13:18:08+00:00,2952306,350758.1666666667
1155,4901428.0,extend procedure term,560872,False,560872,0.3833333333333333,28218.516666666663,798,10,1,0,13,49,9,388,35,53,6,3.5847749928900883,3.19232343689792,0.4860767156265791,11.085714285714284,4.0,10,8,343,0.0257731958762886,0.0206185567010309,0.884020618556701,0.0,2011-01-10 13:18:31+00:00,2952306,350758.1666666667
1156,4901428.0,terminate on request,560872,False,560872,0.1166666666666666,28218.63333333333,798,11,1,0,13,49,9,389,35,53,6,3.586077573025916,3.1934004867334105,0.4851436293016108,11.114285714285714,4.010309278350515,11,7,344,0.0282776349614395,0.0179948586118251,0.884318766066838,0.0,2011-01-10 13:18:38+00:00,2952306,350758.1666666667
1157,4901428.0,applicant is stakeholder,560872,True,560872,0.0666666666666666,28218.7,798,12,1,0,13,49,9,390,35,53,6,3.58780941601166,3.194245182393044,0.4842144657682585,11.142857142857142,4.020618556701031,12,6,345,0.0307692307692307,0.0153846153846153,0.8846153846153846,0.0,2011-01-10 13:18:42+00:00,2952306,350758.1666666667
1158,4901428.0,WAW permit aspect,560872,False,560872,0.1166666666666666,28218.816666666666,798,13,1,0,13,49,9,391,35,53,6,3.5878826160351487,3.194878739078724,0.4832891996202185,11.17142857142857,4.030927835051546,13,11,346,0.0332480818414322,0.0281329923273657,0.8849104859335039,0.0,2011-01-10 13:18:49+00:00,2952306,350758.1666666667
1159,4901428.0,treat subcases completeness,560872,EMPTY,560872,0.0666666666666666,28218.88333333333,798,14,1,0,13,49,9,392,35,53,6,3.5891869231768063,3.195319161366712,0.4823678056721969,11.2,4.041237113402062,14,7,347,0.0357142857142857,0.0178571428571428,0.8852040816326531,0.0,2011-01-10 13:18:53+00:00,2952306,350758.1666666667
1160,4901428.0,registrer date of publishing received request,560872,EMPTY,560872,0.0833333333333333,28218.966666666667,798,15,1,0,13,49,9,393,35,53,6,3.58691278564506,3.195581926515495,0.4814502589575129,11.228571428571428,4.051546391752577,15,27,348,0.0381679389312977,0.0687022900763358,0.8854961832061069,0.0,2011-01-10 13:18:58+00:00,2952306,350758.1666666667
1161,4901428.0,subcases completeness completed,560872,EMPTY,560872,0.1666666666666666,28219.13333333333,799,16,1,0,13,49,9,394,35,53,6,3.587862041287368,3.195680485736174,0.480536534725733,11.257142857142858,4.061855670103093,16,8,349,0.0406091370558375,0.0203045685279187,0.8857868020304569,0.0,2011-01-10 13:19:08+00:00,2952306,350758.1666666667
1162,4901428.0,activities regular procedure,560872,True,560872,0.0666666666666666,28219.2,799,17,1,0,13,49,9,395,35,53,6,3.589175820029776,3.195626640403774,0.4796266084403351,11.285714285714286,4.072164948453608,17,7,350,0.0430379746835443,0.0177215189873417,0.8860759493670886,0.0,2011-01-10 13:19:12+00:00,2952306,350758.1666666667
1163,4901428.0,regular procedure applies,560872,EMPTY,560872,0.0333333333333333,28219.233333333334,799,18,1,0,13,49,9,396,35,53,6,3.5909122024732194,3.195430830018047,0.4787204557764025,11.314285714285717,4.082474226804123,18,6,351,0.0454545454545454,0.0151515151515151,0.8863636363636364,0.0,2011-01-10 13:19:14+00:00,2952306,350758.1666666667
1164,4901428.0,phase application receptive,560872,EMPTY,560872,0.2333333333333333,28219.466666666667,799,19,1,0,13,49,9,397,35,53,6,3.5926461982424103,3.195102356426084,0.4778180526183487,11.342857142857143,4.092783505154639,19,6,352,0.0478589420654911,0.0151133501259445,0.8866498740554156,0.0,2011-01-10 13:19:28+00:00,2952306,350758.1666666667
1165,4901428.0,request complete,560872,True,560872,0.0,28219.466666666667,799,20,1,0,13,49,9,398,35,53,6,3.593596919805471,3.194649561066909,0.4769193750576694,11.371428571428572,4.103092783505154,20,8,353,0.050251256281407,0.0201005025125628,0.8869346733668342,0.0,2011-01-10 13:19:28+00:00,2952306,350758.1666666667
1166,4901428.0,WAW permit aspect,560872,False,560872,0.0833333333333333,28219.55,799,21,1,0,13,49,9,399,35,53,6,3.5934768158439927,3.194079966965832,0.4760243993907253,11.4,4.11340206185567,21,12,354,0.0526315789473684,0.0300751879699248,0.8872180451127819,0.0,2011-01-10 13:19:33+00:00,2952306,350758.1666666667
1167,4901428.0,treat subcases content,560872,EMPTY,560872,0.05,28219.6,799,22,1,0,13,49,9,400,35,53,6,3.5952102394317302,3.193400393854533,0.4751331021165504,11.428571428571429,4.123711340206185,22,6,355,0.055,0.015,0.8875,0.0,2011-01-10 13:19:36+00:00,2952306,350758.1666666667
1168,4901428.0,completed subcases content,560872,EMPTY,560872,0.0333333333333333,28219.63333333333,799,23,1,0,13,49,9,401,35,53,6,3.5969412519357493,3.1926170525088944,0.4742454599346918,11.457142857142856,4.134020618556701,23,6,356,0.0573566084788029,0.0149625935162094,0.8877805486284289,0.0,2011-01-10 13:19:38+00:00,2952306,350758.1666666667
1169,4901428.0,article 34  WABO applies,560872,False,560872,0.0666666666666666,28219.7,799,24,1,0,13,49,9,402,35,53,6,3.5986698558406705,3.1917356228084546,0.473361449743073,11.485714285714286,4.144329896907217,24,6,357,0.0597014925373134,0.0149253731343283,0.8880597014925373,0.0,2011-01-10 13:19:42+00:00,2952306,350758.1666666667
1170,4901428.0,assessment of content completed,560872,EMPTY,560872,0.05,28219.75,799,25,1,0,13,49,9,403,35,53,6,3.6003960536834216,3.1907613188965542,0.4724810486358872,11.514285714285714,4.154639175257732,25,6,358,0.0620347394540942,0.0148883374689826,0.8883374689826302,0.0,2011-01-10 13:19:45+00:00,2952306,350758.1666666667
1171,4901428.0,phase advice known,560872,EMPTY,560872,0.0,28219.75,799,26,1,0,13,49,9,404,35,53,6,3.6021198480520105,3.189698944010518,0.4716042339015162,11.542857142857144,4.164948453608248,26,6,359,0.0643564356435643,0.0148514851485148,0.8886138613861386,0.0,2011-01-10 13:19:45+00:00,2952306,350758.1666666667
1172,4901428.0,grounds for refusal,560872,False,560872,0.0833333333333333,28219.83333333333,799,27,1,0,13,49,9,405,35,53,6,3.6038412415843424,3.1885529369593453,0.4707309830204748,11.571428571428571,4.175257731958763,27,6,360,0.0666666666666666,0.0148148148148148,0.8888888888888888,0.0,2011-01-10 13:19:50+00:00,2952306,350758.1666666667
1173,4901428.0,ask stakeholders views,560872,False,560872,0.15,28219.983333333334,799,28,1,0,13,49,9,406,35,53,6,3.605560236967033,3.1873274117879333,0.4698612736633829,11.6,4.185567010309279,28,6,361,0.0689655172413793,0.0147783251231527,0.8891625615763546,0.0,2011-01-10 13:19:59+00:00,2952306,350758.1666666667
1174,4901428.0,suspension ground applicable,560872,False,560872,0.15,28220.13333333333,800,29,1,0,13,49,9,407,35,53,6,3.607276836934277,3.186026191837915,0.4689950836889608,11.628571428571428,4.195876288659794,29,6,362,0.0712530712530712,0.0147420147420147,0.8894348894348895,0.0,2011-01-10 13:20:08+00:00,2952306,350758.1666666667
1175,4901428.0,creating environmental permit decision,560872,EMPTY,560872,0.0833333333333333,28220.216666666667,800,30,1,0,13,49,9,408,35,53,6,3.6089910442667015,3.1846528391655307,0.4681323911420518,11.657142857142857,4.206185567010309,30,6,363,0.0735294117647058,0.0147058823529411,0.8897058823529411,0.0,2011-01-10 13:20:13+00:00,2952306,350758.1666666667
1176,4901428.0,by law,560872,False,560872,0.0,28220.216666666667,800,31,1,0,13,49,9,409,35,53,6,3.6107028617902808,3.1832106800855,0.4672731742516683,11.685714285714283,4.216494845360825,31,6,364,0.0757946210268948,0.0146699266503667,0.8899755501222494,0.0,2011-01-10 13:20:13+00:00,2952306,350758.1666666667
1177,4901428.0,generating decision environmental permit,560872,EMPTY,560872,0.05,28220.266666666663,800,32,1,0,13,49,9,410,35,53,6,3.612412292375234,3.181702827461553,0.4664174114290622,11.714285714285714,4.22680412371134,32,6,365,0.0780487804878048,0.0146341463414634,0.8902439024390244,0.0,2011-01-10 13:20:16+00:00,2952306,350758.1666666667
1178,4901428.0,register objection and appeal periods,560872,42,560872,0.2666666666666666,28220.533333333333,800,33,1,0,13,49,9,411,35,53,6,3.6141193389349766,3.180132200248325,0.4655650812658208,11.742857142857142,4.237113402061856,33,6,366,0.0802919708029197,0.0145985401459854,0.8905109489051095,0.0,2011-01-10 13:20:32+00:00,2952306,350758.1666666667
1179,4901428.0,transcript decision environmental permit to stakeholders,560872,EMPTY,560872,11.083333333333334,28231.616666666665,811,34,1,0,13,49,9,412,35,53,6,3.6158240044250736,3.1785015406979578,0.4647161625319844,11.771428571428572,4.247422680412371,34,6,367,0.0825242718446602,0.0145631067961165,0.8907766990291263,0.0,2011-01-10 13:31:37+00:00,2952306,350758.1666666667
1180,4901428.0,generate publication document decision environmental permit,560872,EMPTY,560872,0.1666666666666666,28231.783333333333,811,35,1,0,13,49,9,413,35,53,6,3.617526291842214,3.1768134295721078,0.4638706341741887,11.8,4.257731958762887,35,6,368,0.0847457627118644,0.0145278450363196,0.8910411622276029,0.0,2011-01-10 13:31:47+00:00,2952306,350758.1666666667
1182,4901428.0,register date environmental permit decision,560872,EMPTY,560872,568.2166666666667,28800.0,1380,36,1,0,23,48,8,415,35,53,6,3.6220177848240818,3.1797509259733454,0.4621896652452527,11.857142857142858,4.23469387755102,36,6,370,0.0867469879518072,0.0144578313253012,0.891566265060241,0.0,2011-01-10 23:00:00+00:00,2952306,350758.1666666667
1244,4901428.0,enter senddate decision environmental permit,560872,EMPTY,560872,8640.0,37440.0,1380,37,1,6,23,52,10,426,38,54,6,3.616729435867047,3.2314183504428917,0.4711702248347742,11.210526315789474,4.096153846153846,37,6,378,0.0868544600938967,0.0140845070422535,0.8873239436619719,0.0,2011-01-16 23:00:00+00:00,2952306,350758.1666666667
1328,4901428.0,enter date publication decision environmental permit,560872,EMPTY,560872,2880.0,40320.0,1380,38,1,1,23,50,9,438,40,54,6,3.614725809400172,3.262517875268,0.4728950342346236,10.95,4.132075471698113,38,6,388,0.0867579908675799,0.0136986301369863,0.8858447488584474,0.0,2011-01-18 23:00:00+00:00,2952306,350758.1666666667
7637,4901428.0,objection lodged against decision,560872,False,560872,310438.0,350758.0,778,39,8,0,12,66,11,1421,138,88,10,3.608188909462761,4.560153383187198,0.5075110655428056,10.297101449275363,4.426791277258567,39,12,1248,0.0274454609429978,0.0084447572132301,0.8782547501759325,0.0,2011-08-22 12:58:00+00:00,2952306,350758.1666666667
7638,4901428.0,set phase: phase permitting irrevocable,560872,EMPTY,560872,0.0833333333333333,350758.0833333333,778,40,8,0,12,66,11,1422,138,88,10,3.60898062335268,4.559466351233459,0.5072454247284167,10.304347826086955,4.429906542056075,40,13,1249,0.0281293952180028,0.0091420534458509,0.8783403656821378,0.0,2011-08-22 12:58:05+00:00,2952306,350758.1666666667
7639,4901428.0,close case,560872,EMPTY,560872,0.0833333333333333,350758.1666666667,778,41,8,0,12,65,11,1423,138,88,10,3.609667369747717,4.558763208734411,0.5069800888163251,10.31159420289855,4.433021806853582,41,15,1250,0.0288123682361208,0.0105411103302881,0.8784258608573436,0.0,2011-08-22 12:58:10+00:00,2952306,350758.1666666667
936,4901428.0,register submission date request,560872,EMPTY,560872,0.0,0.0,1380,1,12,0,23,37,10,313,28,46,5,3.486375544190419,2.996056407576944,0.4858954748897035,11.178571428571429,4.064935064935065,1,21,22,0.0031948881789137,0.0670926517571885,0.0702875399361022,953.256,2010-12-20 23:00:00+00:00,2953434,92160.0
